source_row,alias,matched_product_id,matched_product_name,match_type,confidence
25.11.:33,Гардина 2.05 бел 3.2 -2 шт,919,"FLEXY GARDINA2 05 ПФ 11058 Гардина 2-х рядная белая 3.2м 6,4 м/уп",fuzzy,0.9710
25.11.:42,Световые линии 30- 8 метров,974,FLEXY LINE 30 ПФ 6838 Профиль АЛ световая линия 30мм 2.0м 10 м/уп,fuzzy,0.9804
19.11.:13,Гарпун клинч фикс-18 метров,,Гарпун- Fix2 (клин),unmatched,
19.11.:27,гарпун двойной 14м,,"Гарпун ""Тандем""",unmatched,
19.11.:57,Гарпун двойной 8м,,"Гарпун ""Тандем""",unmatched,
19.11.:61,Гарпун двойной 3м,,"Гарпун ""Тандем""",unmatched,
20.11.:9,Гарпун тандем 8м.п,,"Гарпун ""Тандем""",unmatched,
20.11.:11,Атом черный - 10 м,,Конструкционный профиль АТОМ черный 2.0м,unmatched,
20.11.:18,Гарпун тандем,,"Гарпун ""Тандем""",unmatched,
20.11.:23,гарпун одинарный черный 5м,,Гарпун- KD2,unmatched,
20.11.:33,Ам1 2мп заглушки тандем,,"Гарпун ""Тандем""",unmatched,
20.11.:38,Тандем 22м,,"Гарпун ""Тандем""",unmatched,
20.11.:59,укрывная 5шт,,"Укрывная пленка MASKO 2,7*20м",unmatched,
20.11.:62,Малярный 1,,Unibob Малярный скотч 50 мм. * 50 м. (Unibob),unmatched,
25.11.:23,Световые линии 30- 6 метров,,"Гарпун ""Тандем""",unmatched,
